name,address,lat,long
Wrights Food Store,"[Car Park Atrium, Dublin Airport, Santry, Dublin, Ireland]",53.4280396,-6.2424698
Lidl,"[West End Retail Park Unit 2a, Blanchardstown, Blanchardstown, Co. Dublin, Ireland]",53.3879395,-6.3942599
Spar,"[Dundrum Main Street, Dundrum, Dublin 14, Ireland]",53.2892,-6.24367
Pinoy Sari Sari Store,"[26 Little Mary Street, North Inner City, Dublin 1, Ireland]",53.34827776,-6.269373894
Aldi Stores,"[Carmanall Sandyford Industrial Estate, South Inner City, Dublin, Ireland]",53.3441,-6.26749
Mace,"[578 South Circuliar Road, Mount Brown, Dublin 8, Ireland]",53.33881,-6.3002
Spar,"[Castleknock Village Centre, Blanchardstown, Castleknock, Dublin 15, Ireland]",53.3816986,-6.3709002
Superquinn Internet Shopping,"[Newcastle Road, Lucan, Lucan, Co. Dublin, Ireland]",53.3342285,-6.4565601
The Late Nite Shop,"[South Richmond St, Harcourt, Dublin 2, Ireland]",53.33093219,-6.264331158
Super Valu,"[27-32 Talbot Street, Gardiner Street, Dublin 1, Ireland]",53.3512917,-6.2517033
Tesco Express,"[18 Fairview, Marino, Dublin 3, Ireland]",53.3636093,-6.2353401
Kelly's Irish Food Hall,"[107 Monkstown Road, Monkstown, Monkstown, Dublin, Ireland]",53.2934914,-6.1542201
Insomnia,"[Eurospar Hanover Building, Hanover Street  E, South Inner City, Dublin, Ireland]",53.34499552,-6.245364079
Kwality Foods,"[306-308 Lower Rathmines Road, Rathmines, Rathmines, Rathmines, Dublin 6, Ireland]",53.3218269,-6.2657399
Spar,"[Kilmainham, 47 Suir Road, Mount Brown, Dublin 8, Ireland]",53.3390694,-6.3077502
Patrick Boshell,"[Laytown, Co. Louth, Ireland]",53.6843491,-6.2397199
Oriental Emporium,"[30 Upper Abbey St, North Inner City, Dublin 1, Ireland]",53.3477707,-6.2640901
Euro-Spar,"[Bayside, Sutton, Dublin 13, Ireland]",53.3910789,-6.13695
Miodzik Grocery Store,"[47 George's Street Lower, Dún Laoghaire, Dublin, Ireland]",53.2931404,-6.1383801
Mace,"[Clanbrassil St, Portobello, Dublin, Ireland]",53.33143043,-6.275081654
Spar,"[10 Parliament Street, Temple Bar, Dublin 2, Ireland]",53.34441127,-6.267160981
Supervalu,"[13 Braemor road, Churchtown 14, Windy Arbour, Dundrum, Dublin 14, Ireland]",53.2964783,-6.2605901
Lidl,"[Old Dundrum Shopping Centre, Dundrum, Dundrum, Dundrum, Co. Dublin, Ireland]",53.2877312,-6.2458601
Tesco,"[Omni Retail Park, Santry, Santry, Dublin 9, Ireland]",53.3931503,-6.24786
Paprika Stores Ltd,"[6 Ryders Row, Parnell Square, Dublin 1, Ireland]",53.3502312,-6.2689891
Tesco Espress,"[52 Thomas Street, The Liberties, Dublin 8, Ireland]",53.3426743,-6.2785621
Centra,"[Parnell Street, Parnell Square, Dublin 1, Ireland]",53.3532715,-6.2599401
Mace,"[Lower Kimmage Rd, Harold's Cross, Dublin 12, Ireland]",53.32267,-6.2810001
Fresh,"[Mayor Square, IFSC, IFSC, Dublin, Ireland]",53.3485718,-6.2329001
Lidl,"[Great Connell Rd, Newbridge, Co. Kildare, Ireland]",53.182579,-6.78265
Turkish Food Store,"[Lower Liffey St, North Inner City, Dublin 1, Ireland]",53.34806824,-6.248270035
Spar,"[24 Sandymount Green, Irishtown, Sandymount, Dublin 4, Ireland]",53.3323402,-6.2157898
Assorti,"[145 Parnell St, Rotunda, Dublin 1, Ireland]",53.353569,-6.2597299
Spar,"[Stepaside, Leopardstown Valley, Dublin 18, Ireland]",53.2584496,-6.1981802
Supervalu,"[Deansgrange Road, Deansgrange, Deansgrange, Co. Dublin, Ireland]",53.2847595,-6.1667299
Dunnes Stores,"[Cornelscourt Shopping Centre, Foxrock, Cabinteely, Dublin 18, Ireland]",53.26640648,-6.161549091
Eurospar,"[Hartstown Shopping Centre, Lucan, Clonsilla, Dublin 15, Ireland]",53.3909111,-6.4109702
Centra Stores,"[2 Kilmacud Road Lower, Stillorgan, Stillorgan, Co. Dublin, Ireland]",53.28862,-6.20787
Spar,"[119 Thomas St, Thomas Street, Dublin 8, Ireland]",53.3431702,-6.2799602
Reid's,"[115 Cabra Road, Cabra, Dublin 7, Ireland]",53.3613739,-6.2851186
Eurospar,"[Fairgreen, Naas, Co. Kildare, Ireland]",53.3987007,-6.6684999
Eurospar,"[Ballyowen S.C, Lucan, Lucan, Co. Dublin, Ireland]",53.3559418,-6.4194698
Supervalu,"[Unit 8 Clane Shopping cntr, Clane, Co. Kildare, Ireland]",53.29140091,-6.689169884
Spar,"[390 Collins Avenue, Beaumont, Dublin 9, Ireland]",53.3812904,-6.2395
Superquinn,"[Knocklyon, Knocklyon, Dublin 16, Ireland]",53.28286422,-6.318056839
Dunnes Stores,"[Esker Lane, Newcastle Road, Lucan, Lucan, Dublin 14, Ireland]",53.3497391,-6.4503698
Centra,"[56 Dame Street, South Inner City, Dublin 2, Ireland]",53.3442,-6.26453
Alexandria Gate Ltd,"[90 South  Circular Road, Portobello, Dublin 8, Ireland]",53.3324124,-6.2740345
Lituanica,"[56 Amiens Street, Gardiner Street, Dublin 1, Ireland]",53.3534,-6.24812
Tesco,"[Nutgrove Shopping Centre, Rathfarnham, Dublin 14, Ireland]",53.3015785,-6.2455201
Spar,"[357 Phibsborough Road, Phibsboro, Dublin 7, Ireland]",53.36092,-6.2726998
Spar,"[33 Ashtown Grove, Navan Road, Dublin 7, Ireland]",53.3708,-6.32407
Centra,"[22/23 Main Street, Rathfarnham, Rathfarnham, Dublin 14, Ireland]",53.29841746,-6.285824217
SuperValu Balally,"[Sandyford Shopping Centre, Blackthorn Drive, Sandyford, Dublin, Ireland]",53.2764508,-6.223409614
Tesco Ireland,"[R761, Greystones, Greystones, Co. Wicklow, Ireland]",53.1285172,-6.073875
Coughlan's Centra Terenure,"[128 Terenure Road, Terenure, Terenure, Dublin 6w, Ireland]",53.3102989,-6.2836399
Spar,"[14-17 Ellis Quay, Smithfield, Dublin 7, Ireland]",53.3473015,-6.2835531
Costcutter,"[410 Collins Avenue, Whitehall, Dublin 9, Ireland]",53.3817253,-6.2415252
Tesco,"[23 Dunard Drive, Cabra, Cabra, Co. Dublin, Ireland]",53.3599892,-6.3011298
Londis,"[Dublin Road, Navan, Co. Meath, Ireland]",53.55289496,-6.761504913
SuperValu,"[Boroimhe Shopping Centre, Forest Road, Swords, Dublin, Ireland]",53.2392082,-6.2877798
Supervalu,"[Firhouse, Firhouse, Dublin 24, Ireland]",53.27915955,-6.340539932
Spar,"[Westland Row, South Inner City, Dublin 2, Ireland]",53.3429108,-6.2500401
Centra,"[149 Phibsboro Road, Phibsboro, Dublin 7, Ireland]",53.3529282,-6.2846699
Spar,"[Coolmine The Mall Clonsilla Road, Clonsilla, Dublin 15, Ireland]",53.3946991,-6.4391899
Beshoffs of Howth,"[17/18 West Pier, Howth, Howth, Dublin 13, Ireland]",53.38936598,-6.072921977
Tesco Ireland,"[7 Towers Centre, Ballymun, Ballymun, Dublin 11, Ireland]",53.39773941,-6.267230034
Brady Wm,"[Newtownmountkennedy, Co. Wicklow, Ireland]",53.0919,-6.11217
Marks and Spencer,"[Dundrum Shopping Centre, Unit 1-28, Dundrum, Dundrum, Dublin 16, Ireland]",53.28704275,-6.242953963
Spar,"[Fairview Strand, Fairview, Marino, Dublin 3, Ireland]",53.3627892,-6.2399001
Centra,"[12-22 Hampton Wood Lawn, Hampton Wood, Ballymun, Finglas, Co. Dublin, Ireland]",53.40426616,-6.284320851
Centra Cahills,"[Grange Rd, Ballinteer, Dublin, Ireland]",53.27592805,-6.263473034
Tesco Express,"[Units 5-7 Donnybrook Mall, Morehampton Road, Donnybrook, Milltown, Dublin 4, Ireland]",53.32264341,-6.23824292
Marks & Spencer Foodhall,"[17 Upper Liffey St, North Inner City, Dublin 1, Ireland]",53.34806824,-6.248270035
Tesco Ireland,"[Blessington Rd, Naas, Co. Kildare, Ireland]",53.2128792,-6.6491599
Togher Stores,"[Main Street, Roundwood, Co. Wicklow, Ireland]",53.0633583,-6.2248402
Tesco Ireland,"[West Street, Drogheda, Co. Louth, Ireland]",53.7151299,-6.3538599
Spar,"[64 O'Connell Street Upper, North Inner City, Dublin 1, Ireland]",53.3502,-6.26062
Dunnes Stores Ltd,"[Lower Level, Donaghmede Shopping Centre, Clongriffin, Donaghmede, Dublin 13, Ireland]",53.3925514,-6.15978
